epoch,train_loss,loss_classifier,loss_box_reg,loss_mask,loss_objectness,loss_rpn_box_reg,val_AP,val_AP50,val_AP75,lr,secs
0,3.646879959106445,1.054067881902059,0.14102417454123498,1.0394831538200378,1.2249420444170633,0.18736269921064377,0.00016424966902059618,0.0006844028125509942,0.0,6.364897251246143e-06,75.59967350959778
1,1.87997301419576,0.47161331673463186,0.1717096137503783,0.6845400750637054,0.38634392271439233,0.1657660908997059,0.011139419733879915,0.03710690003609224,0.0022094216736147873,1.3226558212944887e-05,65.23451471328735
0,3.6637311697006227,1.0506848255793253,0.14035555347800255,1.037642667690913,1.2479695821801822,0.18707849830389023,0.00020518375385810434,0.0007228180131441018,0.0,6.364897251246143e-06,164.20392608642578
1,1.9039022644360861,0.4741026371717453,0.1675496074060599,0.6896893054246902,0.4048889741301537,0.16767175371448198,0.01236657705759968,0.039200770638716236,0.00210318075551419,1.3226558212944887e-05,111.89108657836914
2,1.2882488747437795,0.33097134679555895,0.18908595244089763,0.432978547612826,0.19288238883018494,0.1423306554555893,0.041432561150430855,0.11656838215936545,0.017857796133212575,2.3908852753958595e-05,79.37380719184875
3,1.0612612624963125,0.26856180975834526,0.1888057808081309,0.3229555199543635,0.152872118105491,0.12806603784362475,0.09166837849297348,0.19582770474167377,0.06868712760244565,3.735917549941035e-05,159.26379418373108
4,0.9560121715068817,0.2420454869667689,0.19345975145697594,0.2915913020571073,0.10946714083353679,0.11944848150014878,0.1441425182157067,0.2812240669683918,0.12410936907644537,5.225216681225469e-05,284.1118714809418
5,0.9594187060991923,0.2614307368795077,0.21937106574575108,0.2776603976885478,0.08950232155621052,0.11145418683687845,0.19790663908001144,0.3531374395859244,0.20470596193434745,6.71203102667175e-05,72.01616668701172
6,0.9383624752362569,0.27279962847630185,0.2262251690030098,0.2642280037204425,0.07516438576082389,0.0999452910075585,0.20273520838411102,0.3700645192665894,0.19734159404800825,8.04985378800241e-05,74.43352389335632
7,0.9530190130074819,0.2750821575522423,0.2514065558711688,0.25990576346715294,0.07367909469952186,0.09294543539484341,0.21872171851354794,0.3951170177910438,0.21916372133644385,9.106859408095559e-05,77.33696722984314
8,0.9576284170150757,0.2906071657935778,0.2772466421127319,0.25913464029630023,0.04997113893429438,0.08066883881886801,0.26764505441198255,0.4453109320904605,0.28776112710544755,9.778893316721613e-05,73.38547229766846
9,0.9391058286031088,0.2850188657641411,0.2694067897895972,0.25631850212812424,0.053888513272007305,0.07447314827392498,0.2589735314439571,0.4127461905214909,0.293201222016659,9.999996615375923e-05,73.07681679725647
10,0.9088261822859446,0.2700275406241417,0.2727692524592082,0.25528124421834947,0.04118914647648732,0.06955900167425473,0.3138954178138244,0.49604926829825435,0.35821964737775525,9.996747728533062e-05,78.1052634716034
11,0.9149582902590434,0.2788618152340253,0.2745447903871536,0.2553233956297239,0.03995542470365763,0.06627286970615387,0.31061620226812076,0.4806221731859591,0.3625858968390493,9.987411098639886e-05,85.84154105186462
12,0.889592562119166,0.2624386678139369,0.2696196357409159,0.25214906334877013,0.04193493506560723,0.0634502807011207,0.2994312839982822,0.47274938001829014,0.35065311574107333,9.971998100941723e-05,79.9756109714508
13,0.8920157849788666,0.27410893912116685,0.26690586358308793,0.2493396187822024,0.0419832452510794,0.05967811966935794,0.2912735720034003,0.47019889553086985,0.34280633343433053,9.950527513802077e-05,77.47963452339172
14,0.8799962560335796,0.258587022125721,0.27277719775835674,0.2549347698688507,0.034903229059030615,0.058794042095541954,0.3389906262312852,0.5182587136792207,0.40491205818584985,9.923025495824085e-05,78.02092933654785
15,0.8714900314807892,0.2675706302126249,0.26546334226926166,0.2468013102809588,0.03653784291818738,0.05511690117418766,0.34392258011972304,0.5050241235390496,0.4239298232116179,9.889525553980298e-05,72.82376027107239
16,0.8667295316855113,0.258279816309611,0.2602305233478546,0.2511421208580335,0.03798657481869062,0.05909048669661085,0.3051800928158679,0.47401688265081715,0.36659965881256906,9.850068502789576e-05,83.4709460735321
17,0.8474551220734914,0.243921743084987,0.26619435573617617,0.24787067621946335,0.03377977215374509,0.05568857813874881,0.3180155938277988,0.4903900771004157,0.3951378895352248,9.804702414590906e-05,72.05846238136292
18,0.881146764755249,0.26527027785778046,0.27055363208055494,0.2554532582561175,0.03620858335246643,0.05366100581983725,0.332503530781249,0.5051061396226092,0.41021070862912423,9.753482560974647e-05,77.29763388633728
19,0.8370815614859263,0.23838769644498825,0.2651990835865339,0.24899821082750956,0.030949401886512837,0.05354717820882797,0.35095102755362134,0.5334690461133542,0.42042753421894913,9.696471345442616e-05,77.6578757762909
20,0.8306249976158142,0.24598236829042436,0.2592888787388802,0.24648912598689396,0.028140408514688412,0.050724214004973574,0.3396222858357888,0.5117077261061124,0.41662722384241846,9.633738227379034e-05,79.08903241157532
21,0.8328630348046621,0.24547931800285974,0.2643324002623558,0.24685326019922893,0.026716411858797074,0.04948163628578186,0.3271177108979877,0.5173317962959973,0.39115649784909523,9.565359637424967e-05,81.78633213043213
22,0.8179807424545288,0.2378223883608977,0.2638038476308187,0.24301059246063234,0.024562106747180224,0.048781805609663324,0.34922744771343156,0.5178144803325625,0.42752684385017675,9.491418884359359e-05,122.0676736831665
23,0.8178637405236562,0.23996619756023088,0.26160567104816435,0.24235288749138514,0.026889198956390224,0.047049777768552306,0.3470129935378192,0.5209905681318728,0.42641880990846326,9.41200605360012e-05,80.04911017417908
24,0.8079918543497722,0.22917630101243655,0.25746012330055235,0.24407144039869308,0.03031714428216219,0.04696685342739026,0.338429313830308,0.501397326110765,0.4176978604382185,9.327217897448921e-05,80.13635873794556
25,0.8101161261399586,0.23462892969449362,0.2568142672379812,0.2444709857304891,0.027849248486260574,0.046352697225908436,0.3256988726490296,0.5092138976170959,0.4052995922707507,9.23715771721342e-05,86.57340788841248
26,0.8155004461606343,0.23927594423294068,0.2611324538787206,0.24455730666716893,0.02486943354209264,0.045665304238597555,0.3366093717925856,0.5020565833726727,0.4187689033203627,9.141935237350524e-05,84.65822625160217
27,0.8048450956741969,0.22547864963610967,0.2602396388848623,0.24419213285048802,0.029042005135367314,0.04589268813530604,0.3686343260589502,0.5460190301790774,0.47272426713328225,9.041666471784049e-05,67.41712403297424
28,0.8100922634204228,0.23126560673117638,0.25760610153277713,0.24696534325679143,0.027608146953086058,0.04664706836144129,0.34879773323861724,0.5215443872922598,0.4396914313895897,8.93647358255962e-05,76.02552318572998
29,0.7826226502656937,0.22133604263265927,0.251452690611283,0.24033130556344987,0.02439082432538271,0.04511178955435753,0.3517401162590815,0.522490630829572,0.4403307401992027,8.826484731009032e-05,71.48555111885071
30,0.8039625138044357,0.22632323925693829,0.25872243295113245,0.24587483952442804,0.028200278369088966,0.0448417312776049,0.3568528834536809,0.5508722109313855,0.4435498435107543,8.711833921605413e-05,94.88762760162354
31,0.7733981668949127,0.220023046930631,0.2490683322151502,0.2386147235830625,0.02246352850149075,0.04322854001075029,0.36477142134785334,0.5460439430678277,0.44755427591236036,8.592660838699424e-05,69.53018188476562
32,0.7843959669272105,0.22040276130040487,0.2549486075838407,0.24245603779951733,0.022611611941829323,0.043976955426235996,0.3556236330142129,0.534522246528372,0.4339803774878419,8.469110676335378e-05,85.3978636264801
33,0.7671299278736115,0.20499392201503117,0.2553550139069557,0.24299335529406865,0.021071021181220808,0.04271661334981521,0.37063954698006896,0.5462903491900316,0.4567874589932255,8.34133396135467e-05,71.9460608959198
