epoch,train_loss,loss_classifier,loss_box_reg,loss_mask,loss_objectness,loss_rpn_box_reg,val_AP,val_AP50,val_AP75,lr,grad_norm,secs
0,40.22930658885411,1.0678575852797145,0.6603866683940093,0.720797115848178,28.122342973237945,8.337148885145075,0.0,0.0,0.0,8.233950150877479e-06,nan,86.49838328361511
1,2.493167157400222,0.4202706768399193,0.260627853763955,0.4190641491186051,0.4820919541730767,0.38985682105024655,0.0,0.0,0.0,8.934660339487077e-06,78.01865482330322,74.11417865753174
2,1.8942177483013698,0.338806799692767,0.2303933031679619,0.39605992095811027,0.24425701516724768,0.22391411422618798,0.0,0.0,0.0,1.0098715331363287e-05,42.87738762810117,69.41951441764832
3,1.8056584488777887,0.30341057199097815,0.25666997865551994,0.37118168274561564,0.18154458169426238,0.17951167003207263,0.0,0.0,0.0,1.1720441567319008e-05,35.11201274508522,85.28705501556396
4,1.7393274698938643,0.27804706316618694,0.26525392752318155,0.34724992967787244,0.15739567183135522,0.16087302994870004,0.0,0.0,0.0,1.3791934816154584e-05,27.05208528609503,70.70820474624634
5,1.644877238500686,0.2666674173304013,0.23956738923277174,0.327814857732682,0.15341693692441496,0.17827585822059994,0.0,0.0,0.0,1.630309869957611e-05,25.67554123288109,81.6823525428772
6,1.6692522923151651,0.27113848562751497,0.2534947485796043,0.3166533393519265,0.1450709512989436,0.17590527812107687,0.0,0.0,0.0,1.9241693901554327e-05,21.924858474731444,72.17882966995239
7,1.5508128319467818,0.23713021061959721,0.22953215855218115,0.3064324881349291,0.1447993684781804,0.1738543028898892,0.0,0.0,0.0,2.2593397822279437e-05,22.589125160943894,66.55387687683105
8,1.5259482866241818,0.238544445981582,0.229709227986279,0.29269899073101224,0.1308862236328423,0.1746909412511048,0.0,0.0,0.0,2.6341874385960837e-05,20.371139249347504,76.3804235458374
9,1.5964191609904879,0.2531234660673709,0.2580829723250298,0.2873795673960731,0.1177405101956711,0.16392669369067464,0.0,0.0,0.0,3.046885366223112e-05,19.496910072508314,72.49748611450195
10,1.5529748899596079,0.2530486962270169,0.24716616560305868,0.28020518918832144,0.11588730416482403,0.16233520518456188,0.0,0.0,0.0,3.4954220913082957e-05,20.094454456511,71.21992611885071
11,1.5084863439911889,0.24306869958305644,0.23740314155639636,0.28341216970057714,0.11161611464229368,0.1581799285575038,0.0,0.0,0.0,3.977611463132724e-05,17.85752869560605,73.80378651618958
12,1.4737276324204036,0.24091828639308613,0.23756504960003352,0.2779141743977865,0.08872238116427547,0.1534776329639412,0.0,0.0,0.0,4.491103309273693e-05,16.468231787000384,78.13293385505676
13,1.423256639355705,0.23657159482439358,0.2277843511707726,0.2702258240608942,0.0838056975997807,0.1493004742388924,0.0,0.0,0.0,5.033394890254555e-05,15.033321451005481,89.51117324829102
14,1.3919138542243412,0.23589151789035115,0.2182647888149534,0.27524126995177495,0.07870530946446316,0.14728138529296433,0.0,0.0,0.0,5.6018430978005174e-05,14.1451545329321,83.3503680229187
15,1.4130131304264069,0.23739974740005676,0.22429233906524523,0.2779405067364375,0.0804892438863005,0.14430661999753544,0.0,0.0,0.0,6.193677337246547e-05,14.031685895011538,77.9883189201355
16,1.3820456419672285,0.24365125635550136,0.21929479794842857,0.26102356924897147,0.07724019463307091,0.1422462308202826,0.0,0.0,0.0,6.80601303130905e-05,13.514150794347128,77.81862425804138
17,1.3484533466043926,0.232484013906547,0.21519460273640498,0.26187554541088287,0.06995256433950826,0.1385574145952151,0.0,0.0,0.0,7.435865679404405e-05,12.166368577593849,78.13014507293701
18,1.3416499404680162,0.23707649995173727,0.20924130754456632,0.26642236979234785,0.07350382711073118,0.13692333325743675,0.0,0.0,0.0,8.080165403989852e-05,11.294049496877761,81.38746166229248
19,1.3105063781851813,0.22876473081608614,0.20217732478465353,0.2549642704782032,0.0776189082731781,0.14262648434156464,0.0,0.0,0.0,8.735771913028368e-05,12.242177668071928,71.15590214729309
20,1.3023822540328616,0.2235377073820148,0.20883335398421402,0.25442709823449455,0.06396512308246678,0.13395225963599625,0.0,0.0,0.0,9.399489805651088e-05,11.513934655416579,88.27555775642395
21,1.2857901632785798,0.22089323199221067,0.19800674920635564,0.2534636596838633,0.07667146998324564,0.14074155985422077,0.0,0.0,0.0,0.00010068084146418019,11.167965232758295,71.99308347702026
22,1.300224400701977,0.2266868549088637,0.20250018370293435,0.2583780483120964,0.06956292316761045,0.13809602115125882,0.0,0.0,0.0,0.00010738296232268788,11.181905480793544,73.39886999130249
