epoch,train_loss,loss_classifier,loss_box_reg,loss_mask,loss_objectness,loss_rpn_box_reg,val_AP,val_AP50,val_AP75,lr,grad_norm,secs
0,24.011839730887893,0.9248505485150518,0.5911327625656028,0.6277037037616712,14.987977085519208,5.697910342797744,0.0,0.0,0.0,8.296006735989536e-06,nan,253.5313835144043
1,2.0853429445239344,0.3977498245920148,0.22005815348592386,0.4105120225671376,0.3477116842090228,0.26919494991850235,0.0,0.0,0.0,9.182201527546625e-06,56.75749212474914,113.82597589492798
2,1.7408520304130024,0.28915726494168836,0.21683088196307848,0.3687554730467819,0.218363401976873,0.214083245723691,0.0,0.0,0.0,1.0653119382427563e-05,40.74409231614838,114.85473728179932
3,1.7337427729624881,0.26866582543121287,0.2479455030598994,0.3423631159169822,0.18051972909959738,0.19835759755547056,0.0,0.0,0.0,1.2699689434108729e-05,31.0651492319609,96.4409818649292
4,1.6789312388337971,0.25305640286627856,0.25763003291945424,0.3159773683433898,0.15612249706234588,0.1808848763380476,0.0,0.0,0.0,1.5309290880069894e-05,28.816802592939165,90.62622237205505
5,1.7234499853763854,0.2734112570320733,0.2783779983172576,0.302587949559449,0.12851287302356124,0.18380389132973646,0.0,0.0,0.0,1.846583081184744e-05,26.754030172904713,87.57591986656189
6,1.6885697971405595,0.2703559703625846,0.2767365722155029,0.29108820463481705,0.11895652376430034,0.17795937603704953,0.0,0.0,0.0,2.214984345689502e-05,26.44660933508257,105.4131498336792
7,1.5563057981181943,0.24932399663503804,0.24135623545203197,0.2826423998654744,0.1288658778882768,0.1714048059456692,0.0,0.0,0.0,2.633861022024588e-05,23.683424549239675,99.12681126594543
8,1.5214058022464862,0.23630713888011765,0.24981820347170797,0.2703190726098832,0.09938500213243778,0.16593996957546037,0.0,0.0,0.0,3.100629978570327e-05,21.492070807224255,95.5330319404602
9,1.4811214438180604,0.2342997414714982,0.23449991330165754,0.26586666154234034,0.1086185225901087,0.16883677582737752,0.0,0.0,0.0,3.6124127412582175e-05,20.683643319390036,96.33377575874329
10,1.4881041494140215,0.24196261659478457,0.24111906906955266,0.26587415914358703,0.09503863249895939,0.16187153353119652,0.0,0.0,0.0,4.1660532445649505e-05,20.39029424498526,104.42673993110657
11,1.5018292651935057,0.2512876510455242,0.24318727085357933,0.26123858852819964,0.09877448010720138,0.16096672603557483,0.0,0.0,0.0,4.758137294359364e-05,19.63756672617351,105.18818020820618
12,1.4921420149540787,0.25262813431848036,0.24802979954371326,0.25345933180676694,0.08796335151295456,0.1540017981576827,0.0,0.0,0.0,5.3850136225787304e-05,18.189279311011283,98.71839451789856
