epoch,train_loss,loss_classifier,loss_box_reg,loss_mask,loss_objectness,loss_rpn_box_reg,val_AP,val_AP50,val_AP75,lr,secs
0,33.51894755912631,0.7444269990527563,0.8201733526166821,0.7215808233183422,21.342360524732744,9.890405806472128,0.00011635436395532678,0.0005776800808323975,0.0,6.351907303713789e-06,246.69765949249268
1,2.340821721413162,0.4029983984243669,0.31223182590531834,0.42685557449801587,0.6074775361006012,0.5912583844286253,0.017737983411824334,0.04749076145548086,0.011532770124838571,1.3177151382969243e-05,97.12004065513611
2,1.4247327478749028,0.27597609893785097,0.2832451940336254,0.3673634845554159,0.259300324987369,0.23884764220042343,0.04504887909029737,0.1632041012261426,0.005769403683811062,2.3806884679448428e-05,100.26400923728943
3,1.2412927798675688,0.24527192529123487,0.24300725045980195,0.34134814553381354,0.22705846368544474,0.18460700615620493,0.04984248718479482,0.1241403788036889,0.038588420114885696,3.719943438579637e-05,74.80261015892029
4,1.1120053089401696,0.22627172851411814,0.18575262145421814,0.3009696773598703,0.23011051804288205,0.16890075644465122,0.059367090048850275,0.15527623431263934,0.03441935644954726,5.204238235744185e-05,85.21296548843384
5,1.1443009946620866,0.23284162528645458,0.22258349887901144,0.281323847852731,0.2402693689838405,0.16728265423542202,0.06622077249102193,0.1700522591584671,0.040547461616723186,6.688117702175332e-05,75.60341262817383
6,1.07935206039568,0.23292472342086767,0.182651098189729,0.2703442419512888,0.22577048542522146,0.1676615109559923,0.0021150812480411536,0.007452426687659709,0.0012951876583007138,8.02616738141765e-05,90.79271173477173
7,1.0351756345689966,0.20966328966713857,0.1819574989265961,0.25623260271013454,0.21880101498080354,0.16852122947659992,0.040349906005555984,0.09972968710055888,0.022792369557366146,9.087263572915222e-05,101.82323384284973
8,0.9874594862876314,0.20519698912204568,0.16127856988773753,0.25157042492306636,0.21056010553173804,0.15885339754900446,0.06456572998509935,0.1764283773316833,0.024137277338638612,9.767422948221132e-05,86.70402431488037
9,1.0202425224392602,0.24233371615305208,0.22856584224481072,0.2571013466026006,0.14415562952858177,0.1480859962443748,0.11934476858262172,0.29016819099931224,0.0710729098288779,9.999999903858035e-05,93.27693581581116
10,0.970932436793038,0.22390205949790817,0.208827203638679,0.2539755820056026,0.13693692286634881,0.1472906730336587,0.10607739514298362,0.27947967128176643,0.05877989314303366,9.99691983160653e-05,86.92237210273743
11,0.9759194478392601,0.2392609200500517,0.22761600336983404,0.24947170737419236,0.11540933275265682,0.14416148242660998,0.13657183070417334,0.3173100826594441,0.08195873804935538,9.987751806623624e-05,86.73609638214111
12,0.9548905586426177,0.24203369957970433,0.2256367052355886,0.24117901485957458,0.10095627719248329,0.14508486060383782,0.16004465863161838,0.3633956709478372,0.09763083884393776,9.972506998735536e-05,88.98825740814209
13,0.9374503110734265,0.2435957659454493,0.2172220261571955,0.238628524659055,0.09633219241965144,0.14167179332606578,0.1652317158077532,0.3650645821848054,0.10815983773716648,9.95120398139239e-05,90.41749262809753
14,0.8809508398342668,0.21671248984449867,0.2081493203789179,0.235588779066051,0.08248462963043555,0.13801562048761656,0.15152333156172967,0.3397328282301541,0.12643743368485894,9.923868709039345e-05,90.07582712173462
15,0.8932581119490474,0.23244308078860382,0.20773468119500393,0.23250806988792472,0.08227109156445642,0.13830118725243745,0.1450783847008598,0.3432583624471407,0.10571840084111386,9.890534485495087e-05,91.61597943305969
16,0.8625861775506748,0.21828479528966035,0.2047099046741208,0.22927287459540902,0.07227355421602032,0.13804504937188847,0.18184947252478614,0.3976065215540598,0.13216325300734583,9.85124192337626e-05,89.03369975090027
17,0.8214059487152635,0.19793200131055763,0.19114544416981843,0.22853321896007892,0.06598541849381762,0.13780986189088795,0.1937920901142208,0.3923339962801022,0.17940073251368502,9.806038894617249e-05,96.93303275108337
18,0.8271376643790288,0.20474028286885135,0.19315183450947934,0.22561279299219003,0.06643475385940649,0.1371979980815851,0.1709613519184373,0.3933016939528924,0.1011511396135719,9.754980472145605e-05,98.84184002876282
19,0.7970656435308832,0.19686756283306422,0.18625886283822754,0.22286840658007043,0.054666772922658584,0.1364040351505496,0.16562867349072538,0.3423794338747506,0.11981723906731238,9.698128862784164e-05,84.18418025970459
20,0.7925981005256095,0.19159028367296363,0.18142410630814462,0.22190209708354447,0.05783164545746612,0.13984996807013292,0.18756826680125263,0.4060820636665912,0.1344800750648257,9.635553331461614e-05,90.27746272087097
21,0.7949111066507489,0.19667587878334264,0.1818208929443643,0.2182404420683893,0.06106471435650542,0.13710917410273316,0.15115768085791606,0.35397640436856115,0.09507563835702984,9.567330116823848e-05,85.6263918876648
22,0.7813354644798831,0.1874607617134919,0.18271473805492697,0.21757068229692705,0.057843913214792646,0.1357453742320911,0.16830556427171423,0.3989069339802911,0.1013273871278954,9.493542338348922e-05,89.19340515136719
23,0.773704721184259,0.19154257506257696,0.17928256114632193,0.21732150926516297,0.05137946432962585,0.13417860899863535,0.16505660152419158,0.3650104625153961,0.12085108887919249,9.414279895078771e-05,94.24408555030823
24,0.7614778769150209,0.18525457424713362,0.17169739908765702,0.2158998582051711,0.053696633705676705,0.13492941846050782,0.20714061750892485,0.44367170955207763,0.15322188200969944,9.32963935609108e-05,81.54436445236206
25,0.764102601435747,0.1947741233168191,0.17268058121939492,0.2125727026147789,0.048329120460857924,0.13574607388425117,0.2077360596127275,0.4315045712942394,0.1742461357957306,9.239723842844725e-05,87.37460088729858
