epoch,train_loss,loss_classifier,loss_box_reg,loss_mask,loss_objectness,loss_rpn_box_reg,val_AP,val_AP50,val_AP75,lr,grad_norm,secs
0,30.334675914933236,0.7766972346026362,0.6410528537260288,0.6653326494556865,19.20266580328559,7.766821616565426,0.0,0.0,0.0,4.116950445949902e-06,nan,215.62408685684204
1,2.915751875872817,0.3984016362381609,0.2366879899678618,0.42419948418174636,0.7537527244056811,0.6293340646817781,0.0,0.0,0.0,4.467231891849306e-06,120.7829232421218,85.29483366012573
2,2.0545825142609444,0.3279000669450423,0.2333172164483076,0.3976318161738546,0.3404465120232276,0.28865247783161985,0.0,0.0,0.0,5.0491374388937605e-06,74.22263912492961,70.84143161773682
3,1.8015309806075392,0.2797006361061734,0.23136466756712593,0.3636137063138223,0.23183204066320257,0.23229059762584323,0.0,0.0,0.0,5.8598314990321434e-06,51.99325039055929,64.86595058441162
4,1.7449010912881513,0.25460651620295627,0.2511286733328904,0.345435697068438,0.19329707521463982,0.19817578382166237,0.0,0.0,0.0,6.895363612603522e-06,48.4499755339189,65.54315423965454
5,1.7809352660863593,0.26745882351397043,0.2811566673522218,0.33186065430561323,0.15740393142608045,0.1807418581093862,0.0,0.0,0.0,8.150687698671333e-06,39.8988573745107,69.08219027519226
6,1.7413530470224088,0.2598283311717533,0.28249643487258674,0.3224070505662398,0.1460116283422777,0.16561673934968038,0.0,0.0,0.0,9.619686644249032e-06,35.96726684707203,74.74801111221313
7,1.7351633056499172,0.2663798631930893,0.2917714228042575,0.30081360976091415,0.12683406139447678,0.16582150201415688,0.0,0.0,0.0,1.1295202112595546e-05,32.81409547887921,69.58997654914856
8,1.7058214704956165,0.25571712809637115,0.2912247330707868,0.292600047075007,0.12315524285536651,0.16067485719847907,0.0,0.0,0.0,1.3169069425326757e-05,31.973060635288366,74.08030652999878
9,1.6698825240990762,0.25550237456648545,0.2830668128492159,0.28549476595301376,0.12048172930761855,0.1592032262157542,0.0,0.0,0.0,1.5232157348364555e-05,29.406514697097705,76.78497743606567
10,1.6476882751763722,0.25035061517454077,0.27560432902292203,0.2763020951639522,0.11653159034402782,0.1776909859211554,0.0,0.0,0.0,1.747441258784921e-05,28.216210714367588,69.4770302772522
11,1.6024293886702596,0.24809568331679374,0.27165793787919734,0.27127834070812573,0.09888415667896815,0.16919738763239253,0.0,0.0,0.0,1.9884908779189435e-05,25.75479354812768,72.60206341743469
12,1.532045669033767,0.24142856711887145,0.26215872380650784,0.2663813780226776,0.08949609483289442,0.14826344693097415,0.0,0.0,0.0,2.2451899730529466e-05,25.507832883077374,67.28276467323303
13,1.5275964399701671,0.24018191179019982,0.25578607030605016,0.2604043675524196,0.0956129319614226,0.16403901981385915,0.0,0.0,0.0,2.5162876661181488e-05,23.897172697423176,75.17455339431763
14,1.4658956770121196,0.2277066933779875,0.24603443040454573,0.25072220919662686,0.08606152488100112,0.16330196411219652,0.0,0.0,0.0,2.80046291561038e-05,21.578212299985747,75.30490374565125
15,1.401257945233555,0.224389037968475,0.22836453020828887,0.24787408084960647,0.0842791489561667,0.1596220925196328,0.0,0.0,0.0,3.096330953939807e-05,20.65601292523471,77.41636538505554
16,1.3656753760775882,0.22284840272837564,0.21311307882524705,0.24667758294982772,0.09078181565715158,0.1660283381847941,0.0,0.0,0.0,3.4024500353137244e-05,19.963577213469875,72.23625421524048
17,1.3607110043176625,0.2142642694202354,0.21836939577957945,0.24915375414362365,0.08221894197646216,0.1599658577620502,0.0,0.0,0.0,3.717328461270445e-05,17.913723552055906,74.31535220146179
18,1.3341599627259815,0.21814486848716244,0.2153555848880818,0.2424777790404963,0.07543568568996163,0.15203487814145616,0.0,0.0,0.0,4.039431849629318e-05,17.86821425930735,75.2244668006897
