epoch,train_loss,val_AP,val_AP50,val_AP75,lr,secs
0,5.028791689872742,0.0019201479733876167,0.005621247670984028,0.00037762520772868666,6.364897251246143e-06,58.07976460456848
1,2.751885445912679,0.0373167241640797,0.10247509845504926,0.008896228901075429,1.3226558212944887e-05,58.05773854255676
2,1.9700051466623942,0.08871357020240649,0.17604203606116195,0.07697110438951915,2.3908852753958595e-05,62.24309515953064
3,1.6039726893107096,0.1474744220133074,0.24905737993623303,0.1715195978117934,3.735917549941035e-05,144.55081820487976
4,1.33433052500089,0.18534223550630466,0.3298916746161721,0.18048600049199806,5.225216681225469e-05,68.68773531913757
5,1.2251131157080333,0.21718623082826066,0.36417855583568365,0.23366027199085168,6.71203102667175e-05,55.21372365951538
6,1.2011612474918365,0.22463286841794194,0.3708630183311261,0.2418860663595556,8.04985378800241e-05,56.62334728240967
7,1.099338299036026,0.2348731449583975,0.39778247421912943,0.2607841616769461,9.106859408095559e-05,59.733508825302124
8,1.0534884591897329,0.26113148880207676,0.4309335406433118,0.3023935130666033,9.778893316721613e-05,56.167834758758545
9,1.0236638089021046,0.24267271037114982,0.4045367958838006,0.28523910604164154,9.999996615375923e-05,59.722819089889526
10,0.9978896836439769,0.28603984613229805,0.45146902427921637,0.32950039287479715,9.996747728533062e-05,63.0393602848053
11,0.970899494489034,0.28539191293473254,0.45711709402773343,0.33400394561578295,9.987411098639886e-05,67.219806432724
12,0.9940386017163595,0.28396192636785683,0.46100068298413566,0.3054422568385537,9.971998100941723e-05,57.00297713279724
13,0.9757359266281128,0.27604089290455175,0.45855531908459046,0.32009678383976486,9.950527513802077e-05,60.94683837890625
14,0.9642106294631958,0.304902305605688,0.4897816839026117,0.3388485369595633,9.923025495824085e-05,61.664862871170044
15,0.9315612077713012,0.2836668233597977,0.45211646214390916,0.3280804601852793,9.889525553980298e-05,56.82620453834534
16,0.9138976593812307,0.29362246314607915,0.4763157048192016,0.32335462661461317,9.850068502789576e-05,67.33843326568604
17,0.8989840706189474,0.30280672046470736,0.4800155620934268,0.36139535293663977,9.804702414590906e-05,55.808194398880005
18,0.9283764441808064,0.3017679453728748,0.509694857291874,0.3229955024611541,9.753482560974647e-05,59.49120116233826
19,0.8878856619199117,0.3108695099594699,0.5036278514186623,0.36922353544844133,9.696471345442616e-05,60.24190330505371
20,0.8677783946196238,0.3037391043277041,0.5061460474462419,0.3549266205679931,9.633738227379034e-05,63.22143816947937
21,0.8426357309023539,0.3167369091147875,0.5027327612548956,0.36722857396872355,9.565359637424967e-05,67.37143182754517
22,0.8703896323839824,0.32108047837745873,0.5126876022002531,0.40000476166151294,9.491418884359359e-05,58.8243350982666
23,0.8640072186787923,0.3411049827699393,0.5378509221364297,0.39520364537994995,9.41200605360012e-05,63.155802965164185
24,0.8295472006003062,0.33121007681362463,0.5370358418683935,0.3818750305345656,9.327217897448921e-05,63.574716091156006
25,0.8430557707945506,0.3085304909863321,0.5015588286789819,0.3646701364255452,9.23715771721342e-05,67.414724111557
26,0.8205580075581869,0.3193067463379075,0.5147542371739486,0.3651415790000037,9.141935237350524e-05,65.76461577415466
27,0.8410767416159312,0.3307234855967715,0.5156548310145017,0.38104187622805963,9.041666471784049e-05,52.147971391677856
28,0.8090201814969381,0.32503891879556784,0.5199436343100582,0.3776309280380098,8.93647358255962e-05,61.923195600509644
29,0.7927073736985525,0.3165499491164953,0.521146766609804,0.36425944713707403,8.826484731009032e-05,55.06763577461243
30,0.8241331775983175,0.3162995434835395,0.49417354027983107,0.38229119178294424,8.711833921605413e-05,80.78049635887146
31,0.7995272894700368,0.31579204382081044,0.5029579363513486,0.3773388154575033,8.592660838699424e-05,53.86101174354553
32,0.7817322870095571,0.3098842877279231,0.5035944489227889,0.3635693816910201,8.469110676335378e-05,71.23782706260681
33,0.7714273830254873,0.31897418668013366,0.5206664354103276,0.35801879427967315,8.34133396135467e-05,56.77325081825256
