epoch,train_loss,loss_classifier,loss_box_reg,loss_mask,loss_objectness,loss_rpn_box_reg,val_AP,val_AP50,val_AP75,lr,secs
0,3.128782801413804,0.6932637793629357,0.12954402128967007,0.930916294622957,1.1873425057764804,0.18771620438005146,0.00424937519431274,0.014536335660847478,0.001309327361307559,6.354531762768625e-06,131.03722620010376
1,1.5972142674949732,0.34043649592426384,0.1615575453151394,0.4908677038182034,0.44656543584352126,0.15778709207190555,0.027407786171607978,0.07941452106407348,0.006285905216307243,1.3187134558495877e-05,134.57609677314758
2,1.1346827336911405,0.2767664065186897,0.18840981364836185,0.32405426930845455,0.20983620783251322,0.13561603290897406,0.0917803548672346,0.18931339243534623,0.06703840226546512,2.3827492541143383e-05,124.20450854301453
3,1.0179412184136638,0.2628444429863705,0.20070667181875598,0.27910514443777923,0.1534752134191856,0.12180974416099907,0.14273492422274353,0.2705234377563993,0.13756616504783273,3.7231728175820636e-05,137.60154175758362
4,0.9686056452520778,0.2714038240105918,0.21082305805652998,0.2662922169050474,0.11012550962440083,0.1099610376286875,0.17548879987145413,0.3354245326241102,0.17968503934277433,5.208481235596585e-05,121.42355585098267
5,1.005277473605081,0.3006486337673798,0.2502619143198715,0.261222170310074,0.09618540495382936,0.09695936033104578,0.21865526422127374,0.37129304398634655,0.2313386454875428,6.69295759783612e-05,132.76399421691895
6,1.0191701004344427,0.3255763339360109,0.2702800623360979,0.25654338802514454,0.08240958684113588,0.08436072939023208,0.20948933914531792,0.3762612785501865,0.21473895441968519,8.030966623218493e-05,131.79119420051575
7,0.9939018109541261,0.31773906318324335,0.2688607038574272,0.25699089886097426,0.07240228174944942,0.07790885546527217,0.24884709889859713,0.4197782351274393,0.25984376167347517,9.091242280529792e-05,142.78801941871643
8,0.97994844263859,0.31960744444239003,0.2784951628928774,0.25476484770855207,0.05713013982337512,0.06995085858624805,0.27583349063319423,0.4585862059760147,0.30669092301235573,9.769765706752109e-05,151.12185430526733
9,0.9463073828916871,0.30393710054373474,0.2751700190848179,0.24907972370640616,0.052457299324150164,0.06566324670474684,0.28340831536854605,0.4579471967019618,0.29392889794657134,9.999999615432147e-05,141.59598779678345
10,0.9311729877182607,0.2971957937050401,0.2737643515293518,0.25281149835399025,0.04681774674590384,0.06058359406679199,0.28131618373854655,0.48188021888643967,0.2942899941479858,9.996885323768647e-05,131.75416231155396
11,0.9273222818803252,0.2877900738562091,0.27334321625112146,0.2514318229442232,0.05586703583660923,0.058890134483324676,0.26234938967576266,0.4480162475867936,0.2676445261706908,9.987683121416232e-05,128.47745180130005
12,0.9254474395446564,0.2985390668337265,0.27688672636332134,0.2494361171226823,0.04297860747391588,0.05760692175101029,0.29850893808111156,0.4825805143084538,0.3360333480082536,9.972404219840979e-05,123.181800365448
13,0.910555137007424,0.2967204882690076,0.27057020215505967,0.24722292902094595,0.04128714481086125,0.054754371817610906,0.30042925438149637,0.478436900936513,0.34455788768497697,9.951067234030923e-05,139.32932424545288
14,0.8631704570202345,0.26016881735472197,0.2663582479267308,0.24830882318234176,0.038036845797107796,0.050297725066710056,0.3137955164976257,0.4924005195822163,0.3501318679454505,9.92369815981656e-05,136.25951075553894
15,0.8790030864517341,0.27590632145659305,0.26572029912069944,0.24470974203575863,0.042005723441710295,0.05066100299604279,0.29699606113080057,0.47444692617682604,0.3437448828323971,9.89033034219894e-05,141.00373888015747
16,0.8827314098899284,0.2764325640844495,0.2686086962146036,0.24552630273143897,0.040863175325754904,0.0513006731124825,0.24809709376226932,0.42315421623546073,0.262252783297505,9.851004434723913e-05,126.18541479110718
17,0.8459801429443146,0.251631312909421,0.2674689766312583,0.2421804577781913,0.03678926484125635,0.04791012780447857,0.30967314852307287,0.5096928810275211,0.324939936521214,9.805768349952044e-05,137.05014276504517
18,0.8656034781022018,0.26317754890141865,0.26823528274224046,0.24635620013381657,0.03873528370612793,0.04909916089198897,0.29859214372577514,0.4609530809088238,0.3383977207573312,9.75467720108454e-05,174.0755422115326
19,0.8481269606043783,0.24976318509558612,0.27128233645488037,0.24418801655260364,0.03355978478107267,0.0493336437960689,0.3191661711406168,0.5116634128457932,0.38332267213185733,9.697793234816313e-05,126.34035801887512
20,0.8342326229877686,0.24106832798779682,0.26806300769696073,0.2436106050952097,0.03405507061999354,0.04743560904825336,0.32294653039672516,0.5049939384598342,0.3834572385631056,9.635185755497956e-05,130.3185179233551
21,0.8470523796054754,0.25404365310508215,0.26761947714545753,0.24396630167291405,0.034735047164257994,0.04668789311165639,0.3234899804135665,0.5182759551948186,0.3698291800823923,9.566931040699073e-05,138.73776984214783
22,0.8501029881868469,0.25166085814492084,0.2701446780244286,0.24528116841664474,0.03675950236299358,0.046256784442550596,0.3474206951596328,0.5298551384177472,0.4214652092084437,9.493112248275816e-05,139.2518138885498
