epoch,train_loss,loss_classifier,loss_box_reg,loss_mask,loss_objectness,loss_rpn_box_reg,val_AP,val_AP50,val_AP75,lr,secs
0,34.75833981023746,0.8097178234059489,0.8038402893057282,0.7504746853635552,20.387434376592047,10.399191943666992,6.317743219695282e-05,0.0003657605111444354,0.0,4.116954776035969e-06,245.51973628997803
1,3.979314609692338,0.45129539171924415,0.2426618441803318,0.43520697398801866,1.134816289261988,1.2300103944019949,0.001014329131700129,0.004977712999124035,7.783149533848067e-06,4.46724916999228e-06,108.1114776134491
2,2.398243909136633,0.38662694385170604,0.23307772266437835,0.4105085687021191,0.5097225562072871,0.3921526691593816,0.004511217548920545,0.01634468710234114,0.0006538155431068651,5.049176156769292e-06,92.79361319541931
3,2.0500199903597993,0.3437762541612715,0.25096594425064794,0.3934094817953163,0.28646784301930933,0.27346856541947323,0.021754875783500553,0.08012393028344968,0.00313284392229808,5.85989993885003e-06,91.22373390197754
4,1.8347382232379377,0.31134072532144824,0.22071388593267943,0.3650999575685919,0.2513515838903239,0.24480430212648838,0.04186591118287738,0.13091178365250036,0.012570445075169913,6.895469765469438e-06,87.0606005191803
5,1.7623357916815896,0.28041026844862804,0.234861254039367,0.3414360094773635,0.21392493739493945,0.2219808199194396,0.03180242521183753,0.10029294883187113,0.0069038375403201345,8.150839185079982e-06,87.83664059638977
6,1.7038709256756173,0.2793193983248948,0.24046882510896814,0.3371738340245204,0.1739445476873851,0.19202667285212097,0.04806152722339565,0.16648441926553098,0.005303459546832734,9.619890637293602e-06,104.69246077537537
7,1.763247711688615,0.29635450401437585,0.26893100531227637,0.3160587020971802,0.15230876570201238,0.19173272968050134,0.08661586385382582,0.23382729634543908,0.037658049143647836,1.129546526446116e-05,95.29142093658447
8,1.7597448017155186,0.2783726359497798,0.2864908033123847,0.3079838649777884,0.12963655946535593,0.18427932479620251,0.08362811641686886,0.23603472813480997,0.034159565339793016,1.3169397797613855e-05,94.95220971107483
9,1.7372983156630162,0.26710171809189776,0.2821049882057175,0.3130352461103643,0.13353442674040994,0.17731196110743735,0.13742430672375008,0.3222067256364256,0.07156241728411174,1.5232556346763288e-05,91.83308005332947
10,1.6988702242294054,0.2583121314665742,0.2846028703170713,0.28764407177654544,0.12212771969439273,0.1769776867684291,0.13521870677580064,0.3327998269912649,0.06840226498150781,1.7474886901657668e-05,95.34098696708679
11,1.6347555596841854,0.26300695292609794,0.26657337385616947,0.2819286034013448,0.11580256578706079,0.17429730739690405,0.15553227766992633,0.36807387190971935,0.07951684823688018,1.988546232613677e-05,91.89380884170532
